Category,Title,Filename,Duration,Language,Description
Pradosham,Shiva Ashtottara Shatanama Stotram,audio/pradosham/shiva_ashtottara.mp3,8:45,Sanskrit,Recitation of Lord Shiva's 108 sacred names chanted during Pradosham
Pradosham,Rudram Chamakam,audio/pradosham/rudram_chamakam.mp3,15:30,Sanskrit,Complete Rudram and Chamakam from Krishna Yajur Veda
Pradosham,Shiva Panchakshari Stotram,audio/pradosham/panchakshari.mp3,5:20,Sanskrit,Five-syllable mantra glorifying Lord Shiva
Sankatahara,Ganapathi Atharvashirsha,audio/sankatahara/ganapathi_atharvashirsha.mp3,12:15,Sanskrit,Sacred Upanishad dedicated to Lord Ganesha
Sankatahara,Ganesha Ashtottara Shatanama Stotram,audio/sankatahara/ganesha_ashtottara.mp3,7:30,Sanskrit,Lord Ganesha's 108 divine names
Sankatahara,Sankatahara Chaturthi Vratham Katha,audio/sankatahara/chaturthi_katha.mp3,10:40,Sanskrit,Story of King Chandrasen and the importance of the vratham
Daily,Vishnu Sahasranamam,audio/daily/vishnu_sahasranamam.mp3,25:00,Sanskrit,Lord Vishnu's 1000 divine names for daily recitation
Daily,Lalitha Sahasranamam,audio/daily/lalitha_sahasranamam.mp3,28:15,Sanskrit,Divine Mother's 1000 sacred names
Daily,Hanuman Chalisa,audio/daily/hanuman_chalisa.mp3,6:45,Sanskrit,40 verses praising Lord Hanuman
Daily,Subrahmanya Ashtottara,audio/daily/subrahmanya_ashtottara.mp3,8:10,Sanskrit,Lord Murugan's 108 names for daily worship
